,Listing,Actions,Avg Sold Price,Avg Shipping,Total Sold,Item_Sale,Bids,Date Last Sold
0,", preview full size imageDollar Money 100 Bill Decorative Carpet Table Bedroom Living Room MatDollar Money 100 Bill Decorative Carpet Table Bedroom Living Room Mat",EditSell SimilarExclude listing,$19.31Fixed price,$0.00100% Free shipping,24,$463.45,–,"Mar 20, 2024"
1,", preview full size imageContemporary Rugs For Living Room 8x10 Brown Animal Print Tiger Leopard Cheetah Contemporary Rugs For Living Room 8x10 Brown Animal Print Tiger Leopard Cheetah ",EditSell SimilarExclude listing,$49.49Fixed price,$20.9998% Free shipping,211,"$10,441.61",–,"Mar 20, 2024"
2,", preview full size imageRug Runner 100% Natural Jute Braided Style Carpet Rustic look Living Area RugRug Runner 100% Natural Jute Braided Style Carpet Rustic look Living Area Rug",EditSell SimilarExclude listing,$95.86Fixed price,$0.00100% Free shipping,88,"$8,435.85",–,"Mar 20, 2024"
3,", preview full size imageRug Wool Jute Kilim Area Runner Rug Traditional Hallway Rug Oriental Modern RugRug Wool Jute Kilim Area Runner Rug Traditional Hallway Rug Oriental Modern Rug",EditSell SimilarExclude listing,$88.75Fixed price,$0.00100% Free shipping,3,$266.24,–,"Mar 20, 2024"
4,", preview full size imageBohemian Rug, Turkish Tree Of Life Birds Farmhouse Pictorial Rug 8.2x10 FtBohemian Rug, Turkish Tree Of Life Birds Farmhouse Pictorial Rug 8.2x10 Ft",EditSell SimilarExclude listing,$123.50Auction,$95.000% Free shipping,1,$123.50,15,"Mar 20, 2024"
5,", preview full size imageVGE DYE TURKIS CAUCASIAN GEOMETRIC TRANSITIONAL DESIGND 8.1x10 RUGVGE DYE TURKIS CAUCASIAN GEOMETRIC TRANSITIONAL DESIGND 8.1x10 RUG",EditSell SimilarExclude listing,$290.99Auction,$95.000% Free shipping,1,$290.99,14,"Mar 20, 2024"
6,", preview full size imageBohemian Rug, Turkish Tree Of Life Birds Farmhouse Pictorial Rug 2.7x8 FtBohemian Rug, Turkish Tree Of Life Birds Farmhouse Pictorial Rug 2.7x8 Ft",EditSell SimilarExclude listing,$46.00Auction,$0.00100% Free shipping,1,$46.00,15,"Mar 20, 2024"
7,", preview full size imageShag Area Rug,Modern Plush Fluffy Rugs for Bedroom Living Room,Soft Faux Fur rugShag Area Rug,Modern Plush Fluffy Rugs for Bedroom Living Room,Soft Faux Fur rug",EditSell SimilarExclude listing,$50.08Fixed price,$0.00100% Free shipping,57,"$2,854.43",–,"Mar 20, 2024"
8,", preview full size imagenuLOOM Traditional Vintage Distressed Area Rug in Multi Pink, Yellow, BluenuLOOM Traditional Vintage Distressed Area Rug in Multi Pink, Yellow, Blue",EditSell SimilarExclude listing,$68.30Fixed price,$0.00100% Free shipping,18,"$1,229.39",–,"Mar 20, 2024"
9,", preview full size imageSOUTHWESTERN ANATOLIA  FLATWAVE KILIM GEOMATRIC DESIGND 2.6x12 RUGSOUTHWESTERN ANATOLIA  FLATWAVE KILIM GEOMATRIC DESIGND 2.6x12 RUG",EditSell SimilarExclude listing,$42.99Auction,$0.00100% Free shipping,1,$42.99,15,"Mar 20, 2024"
10,", preview full size imageRug 100% Natural Jute Braided style Area Carpet Rug handmade Reversible Oval RugRug 100% Natural Jute Braided style Area Carpet Rug handmade Reversible Oval Rug",EditSell SimilarExclude listing,$50.30Fixed price,$0.00100% Free shipping,27,"$1,358.07",–,"Mar 20, 2024"
11,", preview full size imageSOUTHWESTERN ANATOLIA  FLATWAVE KILIM GEOMATRIC DESIGND 5.9x8.2 RUGSOUTHWESTERN ANATOLIA  FLATWAVE KILIM GEOMATRIC DESIGND 5.9x8.2 RUG",EditSell SimilarExclude listing,$52.00Auction,$0.00100% Free shipping,1,$52.00,10,"Mar 20, 2024"
