,Listing,Actions,Avg Sold Price,Avg Shipping,Total Sold,Item_Sale,Bids,Date Last Sold
0,", preview full size imageBLUE LOTUS OIL PURE NATURAL ESSENTIAL PURE ORGANIC FROM INDIA USDBLUE LOTUS OIL PURE NATURAL ESSENTIAL PURE ORGANIC FROM INDIA USD",EditSell SimilarExclude listing,$18.53Fixed price,$0.00100% Free shipping,67,"$1,241.28",–,"Mar 20, 2024"
1,", preview full size image4 fl oz GreenHealth Lavender Essential Oil w/ 3 Free Droppers4 fl oz GreenHealth Lavender Essential Oil w/ 3 Free Droppers",EditSell SimilarExclude listing,$10.51Fixed price,$0.00100% Free shipping,"3,063","$32,193.66",–,"Mar 20, 2024"
2,", preview full size image4 fl oz Tea Tree Essential Oil 100% Pure & Natural w/ 3 Free Droppers4 fl oz Tea Tree Essential Oil 100% Pure & Natural w/ 3 Free Droppers",EditSell SimilarExclude listing,$13.52Fixed price,$18.07100% Free shipping,522,"$7,056.14",–,"Mar 20, 2024"
3,", preview full size image4 fl oz Eucalyptus Globulus Essential Oil Pure All Natural with 3 Free Droppers4 fl oz Eucalyptus Globulus Essential Oil Pure All Natural with 3 Free Droppers",EditSell SimilarExclude listing,$10.65Fixed price,$0.00100% Free shipping,"1,820","$19,382.67",–,"Mar 20, 2024"
4,", preview full size image4 fl oz Orange Sweet Essential Oil (100% Pure & Natural) - GreenHealth4 fl oz Orange Sweet Essential Oil (100% Pure & Natural) - GreenHealth",EditSell SimilarExclude listing,$10.53Fixed price,$20.9299% Free shipping,171,"$1,801.13",–,"Mar 20, 2024"
5,", preview full size imagePeppermint Essential Oil 4 oz Pure Natural with 3 Free DroppersPeppermint Essential Oil 4 oz Pure Natural with 3 Free Droppers",EditSell SimilarExclude listing,$10.22Fixed price,$0.00100% Free shipping,"6,875","$70,265.79",–,"Mar 20, 2024"
6,", preview full size image16 fl oz Peppermint Essential Oil 100% Pure - Bulk Size16 fl oz Peppermint Essential Oil 100% Pure - Bulk Size",EditSell SimilarExclude listing,$27.71Fixed price,$0.00100% Free shipping,"5,942","$164,625.95",–,"Mar 20, 2024"
7,", preview full size image30-Pack 2 Oz Amber Glass Eye Dropper Bottles and 6 Funnels for Essential Oils30-Pack 2 Oz Amber Glass Eye Dropper Bottles and 6 Funnels for Essential Oils",EditSell SimilarExclude listing,$26.35Fixed price,$0.00100% Free shipping,430,"$11,330.70",–,"Mar 20, 2024"
8,", preview full size imageYoung Living Thieves Essential Oil Blend, 15mLYoung Living Thieves Essential Oil Blend, 15mL",EditSell SimilarExclude listing,$30.67Fixed price,$14.42100% Free shipping,"1,472","$45,144.12",–,"Mar 20, 2024"
9,", preview full size imageYoung Living PURIFICATION Pure Essential Oil Blend-15 ml NEW BOTTLE-Free ShipYoung Living PURIFICATION Pure Essential Oil Blend-15 ml NEW BOTTLE-Free Ship",EditSell SimilarExclude listing,$29.95Fixed price,$0.00100% Free shipping,3,$89.85,–,"Mar 20, 2024"
10,", preview full size image5 mL - Young Living Peppermint Premium Essential Oil - New / Sealed!5 mL - Young Living Peppermint Premium Essential Oil - New / Sealed!",EditSell SimilarExclude listing,$13.90Fixed price,$0.00100% Free shipping,27,$375.30,–,"Mar 20, 2024"
11,", preview full size imageGuru Nanda Oil Pulling with Coconut Mint & Essential Oils, 8 ozGuru Nanda Oil Pulling with Coconut Mint & Essential Oils, 8 oz",EditSell SimilarExclude listing,$14.47Fixed price,$0.00100% Free shipping,2,$28.94,–,"Mar 20, 2024"
12,", preview full size imageYoung Living Thieves Pure Essential Oil Blend 15 mL / 0.5 oz - New / Sealed!Young Living Thieves Pure Essential Oil Blend 15 mL / 0.5 oz - New / Sealed!",EditSell SimilarExclude listing,$29.90Fixed price,$0.00100% Free shipping,75,"$2,242.62",–,"Mar 20, 2024"
13,", preview full size image1 -- 2oz Blue Glass Bottles with Glass Eye Dropper Dispenser for Essential Oils1 -- 2oz Blue Glass Bottles with Glass Eye Dropper Dispenser for Essential Oils",EditSell SimilarExclude listing,$4.73Fixed price,$0.00100% Free shipping,220,"$1,039.82",–,"Mar 20, 2024"
14,", preview full size imageNatural Lavender Essential Oil 100% Pure Aromatherapy Oils Therapeutic GradeNatural Lavender Essential Oil 100% Pure Aromatherapy Oils Therapeutic Grade",EditSell SimilarExclude listing,$6.95Fixed price,$0.00100% Free shipping,364,"$2,528.91",–,"Mar 20, 2024"
15,", preview full size imageS.R.Brothers Peppermint 100% Pure & Natural Mentha Piperita Essential OilS.R.Brothers Peppermint 100% Pure & Natural Mentha Piperita Essential Oil",EditSell SimilarExclude listing,$7.75Fixed price,$3.0694% Free shipping,21,$162.66,–,"Mar 20, 2024"
16,", preview full size imageClove Bud Essential Oil - 100% Pure and Natural - US Seller!Clove Bud Essential Oil - 100% Pure and Natural - US Seller!",EditSell SimilarExclude listing,$8.53Fixed price,$13.72100% Free shipping,934,"$7,969.37",–,"Mar 20, 2024"
17,", preview full size imageLove Potion Essential Oil Aphrodisiac Blend 10 ml 100% Pure For Women PerfumeLove Potion Essential Oil Aphrodisiac Blend 10 ml 100% Pure For Women Perfume",EditSell SimilarExclude listing,$7.18Fixed price,$0.00100% Free shipping,90,$646.10,–,"Mar 20, 2024"
18,", preview full size imageHIQILI Cypress Essential Oils 100% Pure Natural Diffuser Grade Soap Bath AromaHIQILI Cypress Essential Oils 100% Pure Natural Diffuser Grade Soap Bath Aroma",EditSell SimilarExclude listing,$9.13Fixed price,$0.00100% Free shipping,27,$246.59,–,"Mar 20, 2024"
19,", preview full size imageBulk Peppermint Essential Oil - Large Wholesale Size - 100% Pure and UndilutedBulk Peppermint Essential Oil - Large Wholesale Size - 100% Pure and Undiluted",EditSell SimilarExclude listing,$63.00Fixed price,$0.00100% Free shipping,157,"$9,891.43",–,"Mar 20, 2024"
20,", preview full size imageMAYJAM 30ml 1oz Essential Oils Fragrance Oils 100% Pure for Humidifier DiffuserMAYJAM 30ml 1oz Essential Oils Fragrance Oils 100% Pure for Humidifier Diffuser",EditSell SimilarExclude listing,$5.40Fixed price,$0.00100% Free shipping,173,$933.38,–,"Mar 20, 2024"
21,", preview full size imageYoung Living Everyday Essential OilsYoung Living Everyday Essential Oils",EditSell SimilarExclude listing,$70.00Fixed price,$0.00100% Free shipping,4,$279.98,–,"Mar 20, 2024"
22,", preview full size imagePure Clary Sage Essential Oil - 30 mL ( 1 FL.OZ) - for Aromatherapy Diffuser,DIYPure Clary Sage Essential Oil - 30 mL ( 1 FL.OZ) - for Aromatherapy Diffuser,DIY",EditSell SimilarExclude listing,$7.99Fixed price,$0.00100% Free shipping,1,$7.99,–,"Mar 20, 2024"
23,", preview full size imageNOW FOODS Eucalyptus Incense Essential Oil 16oz BIG BOTTLE FRESH 11/25EXPNOW FOODS Eucalyptus Incense Essential Oil 16oz BIG BOTTLE FRESH 11/25EXP",EditSell SimilarExclude listing,$31.32Fixed price,$63.7098% Free shipping,381,"$11,934.14",–,"Mar 20, 2024"
24,", preview full size imageNose Lift Up Essential Oil Nose Firming Repairing Massage Oil Heighten Skin CareNose Lift Up Essential Oil Nose Firming Repairing Massage Oil Heighten Skin Care",EditSell SimilarExclude listing,$3.61Fixed price,$1.3283% Free shipping,23,$83.13,–,"Mar 20, 2024"
25,", preview full size image100% Pure USDA CERTIFIED ORGANIC Eucalyptus Essential Oil Huge 4oz Glass Bottle 100% Pure USDA CERTIFIED ORGANIC Eucalyptus Essential Oil Huge 4oz Glass Bottle ",EditSell SimilarExclude listing,$13.40Fixed price,$17.68100% Free shipping,378,"$5,066.32",–,"Mar 20, 2024"
26,", preview full size imageOrange Oil (100% Pure), 4 oz - NOW Foods Essential OilsOrange Oil (100% Pure), 4 oz - NOW Foods Essential Oils",EditSell SimilarExclude listing,$8.05Fixed price,$6.37100% Free shipping,651,"$5,243.75",–,"Mar 20, 2024"
27,", preview full size imageHotel Collection -My Way- Essential Oil Diffuser Scent 120ml /4fl Oz USA SELLERHotel Collection -My Way- Essential Oil Diffuser Scent 120ml /4fl Oz USA SELLER",EditSell SimilarExclude listing,$29.41Fixed price,$0.00100% Free shipping,59,"$1,735.00",–,"Mar 20, 2024"
28,", preview full size imageWhite Angelica Young Living  5ml new/sealed FREE SHIPPINGWhite Angelica Young Living  5ml new/sealed FREE SHIPPING",EditSell SimilarExclude listing,$34.75Fixed price,$0.00100% Free shipping,1,$34.75,–,"Mar 20, 2024"
29,", preview full size imageYoung Living Essential Oils, Sealed, with New Pricing! FREE SHIPPING!Young Living Essential Oils, Sealed, with New Pricing! FREE SHIPPING!",EditSell SimilarExclude listing,$21.90Fixed price,$14.4699% Free shipping,"3,270","$71,612.02",–,"Mar 20, 2024"
30,", preview full size imageYoung Living Sacred Mountain 15 ml, Factory SealedYoung Living Sacred Mountain 15 ml, Factory Sealed",EditSell SimilarExclude listing,$35.00Fixed price,$4.110% Free shipping,1,$35.00,–,"Mar 20, 2024"
31,", preview full size imagedoTERRA Lime 15 mL Essential Oil  NEW & SEALED EXP 03/28doTERRA Lime 15 mL Essential Oil  NEW & SEALED EXP 03/28",EditSell SimilarExclude listing,$16.99Fixed price,$0.00100% Free shipping,1,$16.99,–,"Mar 20, 2024"
32,", preview full size imageLAVENDER ESSENTIAL OIL 100% PURE & NATURAL SIZE 1 2 4 16 oz - THERAPEUTIC GRADE LAVENDER ESSENTIAL OIL 100% PURE & NATURAL SIZE 1 2 4 16 oz - THERAPEUTIC GRADE ",EditSell SimilarExclude listing,$15.39Fixed price,$0.00100% Free shipping,591,"$9,092.87",–,"Mar 20, 2024"
33,", preview full size imagedoTERRA Motivate Touch 10mL  NEW & SEALED Exp 09/27doTERRA Motivate Touch 10mL  NEW & SEALED Exp 09/27",EditSell SimilarExclude listing,$16.00Fixed price,$0.00100% Free shipping,1,$16.00,–,"Mar 20, 2024"
34,", preview full size imageStarwest Botanicals - Clove Bud Essential Oil (1/3 oz.) - 0.33 oz.Starwest Botanicals - Clove Bud Essential Oil (1/3 oz.) - 0.33 oz.",EditSell SimilarExclude listing,$13.19Fixed price,$0.00100% Free shipping,1,$13.19,–,"Mar 20, 2024"
35,", preview full size imageYoung Living Super C Vitamin C Supplement, 120 tabletsYoung Living Super C Vitamin C Supplement, 120 tablets",EditSell SimilarExclude listing,$16.99Fixed price,$0.00100% Free shipping,1,$16.99,–,"Mar 20, 2024"
36,", preview full size imageCassia 100% Pure Essential Oil 15mLCassia 100% Pure Essential Oil 15mL",EditSell SimilarExclude listing,$7.76Fixed price,$0.00100% Free shipping,35,$271.69,–,"Mar 20, 2024"
37,", preview full size image100% Pure Natural Premium Essential Oil Therapeutic Grade Aromatherapy15 to100ml100% Pure Natural Premium Essential Oil Therapeutic Grade Aromatherapy15 to100ml",EditSell SimilarExclude listing,$12.48Fixed price,$0.00100% Free shipping,80,$998.27,–,"Mar 20, 2024"
38,", preview full size imageYoung Living Journey On Essential Oil 5ml New SealedYoung Living Journey On Essential Oil 5ml New Sealed",EditSell SimilarExclude listing,$14.39Fixed price,$4.500% Free shipping,2,$28.78,–,"Mar 20, 2024"
39,", preview full size imageNOW FOODS Cypress Oil - 1 fl. oz.NOW FOODS Cypress Oil - 1 fl. oz.",EditSell SimilarExclude listing,$11.33Fixed price,$0.00100% Free shipping,2,$22.66,–,"Mar 20, 2024"
40,", preview full size imageCampo Essential Oil Blend Detox  & Relax 15ml ~ Lot of 2Campo Essential Oil Blend Detox  & Relax 15ml ~ Lot of 2",EditSell SimilarExclude listing,$29.99Fixed price,$0.00100% Free shipping,2,$59.98,–,"Mar 20, 2024"
41,", preview full size imageTonka Bean Essential Oil, (Dipteryx odorata). 100% Pure and natural.Tonka Bean Essential Oil, (Dipteryx odorata). 100% Pure and natural.",EditSell SimilarExclude listing,$17.13Fixed price,$0.00100% Free shipping,63,"$1,078.92",–,"Mar 20, 2024"
42,", preview full size imagePICK YOUR OWN 4mL 100% Essential Oils (L - Z) (Spend $20 for FREE SHIPPING)PICK YOUR OWN 4mL 100% Essential Oils (L - Z) (Spend $20 for FREE SHIPPING)",EditSell SimilarExclude listing,$3.31Fixed price,$2.7568% Free shipping,438,"$1,451.85",–,"Mar 20, 2024"
43,", preview full size imageEssential Oil 4 oz with Free Glass Dropper, All Natural Uncut, 50+ Popular OilsEssential Oil 4 oz with Free Glass Dropper, All Natural Uncut, 50+ Popular Oils",EditSell SimilarExclude listing,$13.64Fixed price,$13.24100% Free shipping,"4,037","$55,049.35",–,"Mar 20, 2024"
44,", preview full size imageTea Tree Essential Oil 100% Pure Many Sizes Free Shipping - GreenHealth Tea Tree Essential Oil 100% Pure Many Sizes Free Shipping - GreenHealth ",EditSell SimilarExclude listing,$28.67Fixed price,$17.81100% Free shipping,"1,383","$39,649.67",–,"Mar 20, 2024"
