,Listing,Actions,Avg Sold Price,Avg Shipping,Total Sold,Item_Sale,Bids,Date Last Sold
0,", preview full size image10oz Lubricant Semen Long Lasting Water Based Sex Lube Lubricantes-Sexuales Gel10oz Lubricant Semen Long Lasting Water Based Sex Lube Lubricantes-Sexuales Gel",EditSell SimilarExclude listing,$12.55Fixed price,$0.00100% Free shipping,82,"$1,029.34",–,"Mar 21, 2024"
1,", preview full size imagePersonal Lubricant Organic Water Based Lube for Women Men & Couples 300ML 200MLPersonal Lubricant Organic Water Based Lube for Women Men & Couples 300ML 200ML",EditSell SimilarExclude listing,$7.97Fixed price,$0.00100% Free shipping,19,$151.49,–,"Mar 21, 2024"
2,", preview full size imageNew Pjur Original Bodyglide Silky Silicone Lubricant Lube 1000 ml free shipping!New Pjur Original Bodyglide Silky Silicone Lubricant Lube 1000 ml free shipping!",EditSell SimilarExclude listing,$114.00Fixed price,$0.00100% Free shipping,9,"$1,026.00",–,"Mar 21, 2024"
3,", preview full size imageEquate Liquid Personal Lubricant Jelly Fragrance Free 8 OZ.Equate Liquid Personal Lubricant Jelly Fragrance Free 8 OZ.",EditSell SimilarExclude listing,$7.94Fixed price,$0.00100% Free shipping,12,$95.23,–,"Mar 21, 2024"
4,", preview full size imageK-Y Warming Liquid Personal Lubricant For Warm Natural Feeling 1.0 Oz Pack of 4K-Y Warming Liquid Personal Lubricant For Warm Natural Feeling 1.0 Oz Pack of 4",EditSell SimilarExclude listing,$9.99Fixed price,$4.990% Free shipping,2,$19.98,–,"Mar 21, 2024"
5,", preview full size imagePersonal Lubricant Water Based Long Lasting Sex-Lubricant for Women Men CouplesPersonal Lubricant Water Based Long Lasting Sex-Lubricant for Women Men Couples",EditSell SimilarExclude listing,$6.15Fixed price,$0.00100% Free shipping,108,$664.54,–,"Mar 21, 2024"
6,", preview full size imageKY Warming Liquid Sensorial Personal Lubricant ""Turn up the heat"" 1 FL oz./28gKY Warming Liquid Sensorial Personal Lubricant ""Turn up the heat"" 1 FL oz./28g",EditSell SimilarExclude listing,$6.84Fixed price,$0.00100% Free shipping,66,$451.16,–,"Mar 21, 2024"
7,", preview full size imageBad Dragon 🐉 Cum Lube Water Based Personal Lubricant 8 fl oz Discreet PackagingBad Dragon 🐉 Cum Lube Water Based Personal Lubricant 8 fl oz Discreet Packaging",EditSell SimilarExclude listing,$22.71Fixed price,$15.0392% Free shipping,"1,635","$37,129.17",–,"Mar 21, 2024"
8,", preview full size image6 Pack Pre-Seed Fertility Conception Friendly Lubricant Plus 9 Applicators Each6 Pack Pre-Seed Fertility Conception Friendly Lubricant Plus 9 Applicators Each",EditSell SimilarExclude listing,$108.07Fixed price,$0.00100% Free shipping,173,"$18,695.72",–,"Mar 21, 2024"
9,", preview full size imageSex Lube Personal Premium Water Based Lubricant Long Lasting Natural Feel 14 OZSex Lube Personal Premium Water Based Lubricant Long Lasting Natural Feel 14 OZ",EditSell SimilarExclude listing,$9.43Fixed price,$0.00100% Free shipping,"1,834","$17,297.60",–,"Mar 21, 2024"
10,", preview full size imagePre-Seed Fertility-Friendly Personal Lubricant - 9 Applicators. Expiration: 2025Pre-Seed Fertility-Friendly Personal Lubricant - 9 Applicators. Expiration: 2025",EditSell SimilarExclude listing,$16.00Fixed price,$0.00100% Free shipping,2,$32.00,–,"Mar 21, 2024"
11,", preview full size imageLong Lasting Water Based Personal Sex Lube Lubricant, Nature FeelLong Lasting Water Based Personal Sex Lube Lubricant, Nature Feel",EditSell SimilarExclude listing,$9.03Fixed price,$5.00100% Free shipping,"24,596","$222,013.23",–,"Mar 21, 2024"
12,", preview full size imageNEW Fleshlube Water Lubricant Personal LUBE - Fleshlight Brand - HypoallergenicNEW Fleshlube Water Lubricant Personal LUBE - Fleshlight Brand - Hypoallergenic",EditSell SimilarExclude listing,$5.69Fixed price,$7.404% Free shipping,56,$318.50,–,"Mar 21, 2024"
13,", preview full size imageAnal Glide - Natural Lubricant - 4.75oz. Doc Johnsons Best Anal Lube. Ship FastAnal Glide - Natural Lubricant - 4.75oz. Doc Johnsons Best Anal Lube. Ship Fast",EditSell SimilarExclude listing,$15.40Fixed price,$16.1799% Free shipping,110,"$1,694.26",–,"Mar 21, 2024"
14,", preview full size image220 ML Sex Lube Personal Water Based Cum Lubricant Long Lasting Natural Feeling220 ML Sex Lube Personal Water Based Cum Lubricant Long Lasting Natural Feeling",EditSell SimilarExclude listing,$4.67Fixed price,$0.00100% Free shipping,1,$4.67,–,"Mar 21, 2024"
15,", preview full size imageHot Extra Warming F Cum Sauce Water Based Vaginal Anal Lube Personal LubricantHot Extra Warming F Cum Sauce Water Based Vaginal Anal Lube Personal Lubricant",EditSell SimilarExclude listing,$21.95Fixed price,$0.00100% Free shipping,16,$351.20,–,"Mar 21, 2024"
16,", preview full size imageWater Based Personal Lubricant 16 oz by Healthy Vibes Intimate Lube for CouplesWater Based Personal Lubricant 16 oz by Healthy Vibes Intimate Lube for Couples",EditSell SimilarExclude listing,$15.95Fixed price,$18.93100% Free shipping,"12,551","$200,188.45",–,"Mar 21, 2024"
17,", preview full size imageHigher Control Male Climax Control Lubricating Gel Lube Hemp Desensitizer USAHigher Control Male Climax Control Lubricating Gel Lube Hemp Desensitizer USA",EditSell SimilarExclude listing,$11.95Fixed price,$5.060% Free shipping,66,$788.49,–,"Mar 21, 2024"
18,", preview full size imageJ-Lube Concentrated Powdered Lubricant - 10 oz. / 284gmJ-Lube Concentrated Powdered Lubricant - 10 oz. / 284gm",EditSell SimilarExclude listing,$17.78Fixed price,$9.0961% Free shipping,859,"$15,269.24",–,"Mar 21, 2024"
19,", preview full size image8 oz Water Based Lube Natural Anal Lubricant - Water Based Rectal Lube8 oz Water Based Lube Natural Anal Lubricant - Water Based Rectal Lube",EditSell SimilarExclude listing,$8.36Fixed price,$5.00100% Free shipping,"8,552","$71,484.44",–,"Mar 21, 2024"
20,", preview full size imageID Glide Lube Water Based Natural Feel Personal Sex Lube Lubricant Choose SizeID Glide Lube Water Based Natural Feel Personal Sex Lube Lubricant Choose Size",EditSell SimilarExclude listing,$17.19Fixed price,$3.5699% Free shipping,"6,134","$105,470.96",–,"Mar 21, 2024"
21,", preview full size imageSex Lube Personal Lubricant Water Based Long Lasting Sex Lubricant for Women&MenSex Lube Personal Lubricant Water Based Long Lasting Sex Lubricant for Women&Men",EditSell SimilarExclude listing,$7.79Fixed price,$0.00100% Free shipping,73,$568.52,–,"Mar 21, 2024"
