,Listing,Actions,Avg Sold Price,Avg Shipping,Total Sold,Item_Sale,Bids,Date Last Sold
0,", preview full size imageHi Grade UNC PCGS Slab MS65 1889 P Morgan 90% Silver $1 Dollar Coin Nicely TonedHi Grade UNC PCGS Slab MS65 1889 P Morgan 90% Silver $1 Dollar Coin Nicely Toned",EditSell SimilarExclude listing,$208.08Fixed price,$0.00100% Free shipping,1,$208.08,–,"Mar 18, 2024"
1,", preview full size image1890 AU/UNC MORGAN SILVER DOLLAR 90% $1 COIN US #T7021890 AU/UNC MORGAN SILVER DOLLAR 90% $1 COIN US #T702",EditSell SimilarExclude listing,$37.01Auction,$5.000% Free shipping,1,$37.01,9,"Mar 18, 2024"
2,", preview full size image1891-P AU UNCIRCULATED  MORGAN SILVER DOLLAR 90% SILVER $1 US COIN -NICE!  M111891-P AU UNCIRCULATED  MORGAN SILVER DOLLAR 90% SILVER $1 US COIN -NICE!  M11",EditSell SimilarExclude listing,$59.77Auction,$0.00100% Free shipping,1,$59.77,1,"Mar 18, 2024"
3,", preview full size image1883 MORGAN SILVER DOLLAR COIN-XF1883 MORGAN SILVER DOLLAR COIN-XF",EditSell SimilarExclude listing,$40.85Fixed price,$0.00100% Free shipping,1,$40.85,–,"Mar 18, 2024"
4,", preview full size image1889 AU/UNC MORGAN SILVER DOLLAR 90% $1 COIN US #X2871889 AU/UNC MORGAN SILVER DOLLAR 90% $1 COIN US #X287",EditSell SimilarExclude listing,$43.06Auction,$5.000% Free shipping,1,$43.06,9,"Mar 18, 2024"
5,", preview full size image1888-P Morgan Silver Dollar AU About Uncirculated Coin (Raw10898)1888-P Morgan Silver Dollar AU About Uncirculated Coin (Raw10898)",EditSell SimilarExclude listing,$46.00Fixed price,$0.00100% Free shipping,1,$46.00,–,"Mar 18, 2024"
6,", preview full size image1 Coin 100+ Year Old 1878-1904 Morgan US Silver Dollars Eagle 90% Bulk Cull Lot1 Coin 100+ Year Old 1878-1904 Morgan US Silver Dollars Eagle 90% Bulk Cull Lot",EditSell SimilarExclude listing,$31.81Fixed price,$12.1299% Free shipping,465,"$14,793.56",–,"Mar 18, 2024"
7,", preview full size image1885 Morgan Silver dollar AU 90% US Silver Coin -zm1885 Morgan Silver dollar AU 90% US Silver Coin -zm",EditSell SimilarExclude listing,$43.00Fixed price,$6.150% Free shipping,1,$43.00,–,"Mar 18, 2024"
8,", preview full size image1885 BU MORGAN SILVER DOLLAR UNC MS+++ DMPL U.S. MINT RARE COIN 36061885 BU MORGAN SILVER DOLLAR UNC MS+++ DMPL U.S. MINT RARE COIN 3606",EditSell SimilarExclude listing,$89.88Auction,$0.00100% Free shipping,1,$89.88,18,"Mar 18, 2024"
9,", preview full size image(1) Coin  $1 1921 Morgan US Silver Dollars Eagle Reverse 90% Bulk Lot - Polished(1) Coin  $1 1921 Morgan US Silver Dollars Eagle Reverse 90% Bulk Lot - Polished",EditSell SimilarExclude listing,$35.37Fixed price,$0.00100% Free shipping,385,"$13,616.10",–,"Mar 18, 2024"
