,Listing,Actions,Avg Sold Price,Avg Shipping,Total Sold,Item_Sale,Bids,Date Last Sold
0,", preview full size imageMighty Morphin Power Rangers Shot Glasses Glassware Set Of 6Mighty Morphin Power Rangers Shot Glasses Glassware Set Of 6",EditSell SimilarExclude listing,$30.00Fixed price,$10.930% Free shipping,1,$30.00,–,"Mar 19, 2024"
1,", preview full size imageGaelSong Scottish Stag Shot Glass Pewter 2 Oz. Shocttish Gift HandmadeGaelSong Scottish Stag Shot Glass Pewter 2 Oz. Shocttish Gift Handmade",EditSell SimilarExclude listing,$31.10Fixed price,$3.990% Free shipping,1,$31.10,–,"Mar 19, 2024"
2,", preview full size imageGreek Amfissa Blond Olives (Moschos) 2 kg (4.4 lb)Greek Amfissa Blond Olives (Moschos) 2 kg (4.4 lb)",EditSell SimilarExclude listing,$19.49Fixed price,$31.130% Free shipping,2,$38.98,–,"Mar 19, 2024"
3,", preview full size imageNew Set/6 Princess Cruise Shot Glasses Multicolor Never UsedNew Set/6 Princess Cruise Shot Glasses Multicolor Never Used",EditSell SimilarExclude listing,$18.00Fixed price,$14.500% Free shipping,1,$18.00,–,"Mar 19, 2024"
4,", preview full size imageLot of 2 New Boxes Flora Set of 4 Crystal Vodka Shooters 1.5 oz Lavendar PurpleLot of 2 New Boxes Flora Set of 4 Crystal Vodka Shooters 1.5 oz Lavendar Purple",EditSell SimilarExclude listing,$49.00Fixed price,$8.600% Free shipping,1,$49.00,–,"Mar 19, 2024"
5,", preview full size imageSet of 2 Agwa DE BOLIVIA  Shot Glass  Collectible BarwareSet of 2 Agwa DE BOLIVIA  Shot Glass  Collectible Barware",EditSell SimilarExclude listing,$28.00Fixed price,$12.000% Free shipping,3,$84.00,–,"Mar 19, 2024"
6,", preview full size imageNew York City Souvenir Shot Glasses Yankee Stadium NYPD Ellis Island & SkylineNew York City Souvenir Shot Glasses Yankee Stadium NYPD Ellis Island & Skyline",EditSell SimilarExclude listing,$15.96Fixed price,$0.00100% Free shipping,1,$15.96,–,"Mar 19, 2024"
7,", preview full size imageValeways 1.75oz Mini Shot Glass Set of 6/Clear/Tasting Glasses/Cordial ShotValeways 1.75oz Mini Shot Glass Set of 6/Clear/Tasting Glasses/Cordial Shot",EditSell SimilarExclude listing,$18.34Fixed price,$0.00100% Free shipping,1,$18.34,–,"Mar 19, 2024"
8,", preview full size imageROYAL SALUTE Whiskey Shot GlassROYAL SALUTE Whiskey Shot Glass",EditSell SimilarExclude listing,$18.00Fixed price,$0.00100% Free shipping,6,$108.00,–,"Mar 19, 2024"
9,", preview full size imageIndiana University Pennsylvania Shot Glass NewIndiana University Pennsylvania Shot Glass New",EditSell SimilarExclude listing,$12.99Fixed price,$0.00100% Free shipping,1,$12.99,–,"Mar 19, 2024"
10,", preview full size imageLOT OF 6 LUMINARC 2 OZ. SHOOTERS SHOT GLASSES DIFFERENT LIQUOR LOGOSLOT OF 6 LUMINARC 2 OZ. SHOOTERS SHOT GLASSES DIFFERENT LIQUOR LOGOS",EditSell SimilarExclude listing,$14.99Fixed price,$9.500% Free shipping,1,$14.99,–,"Mar 19, 2024"
11,", preview full size imageRitzenhoff schnapps Shot Art glass Germany Set Of 10 Barware Limited Edition NEWRitzenhoff schnapps Shot Art glass Germany Set Of 10 Barware Limited Edition NEW",EditSell SimilarExclude listing,$199.99Auction,$12.000% Free shipping,1,$199.99,1,"Mar 19, 2024"
