,Listing,Actions,Avg Sold Price,Avg Shipping,Total Sold,Item_Sale,Bids,Date Last Sold
0,", preview full size imageWomen Boho Floral Kimono Shawl Beach Cover Up Tops Cardigan Bohemia Blouse CoatWomen Boho Floral Kimono Shawl Beach Cover Up Tops Cardigan Bohemia Blouse Coat",EditSell SimilarExclude listing,$19.52Fixed price,$0.00100% Free shipping,1,$19.52,–,"Mar 19, 2024"
1,", preview full size imageNWT Sundance Catalog Yellow Long Sleeve Crew Neck Thermal Tee, Size L $58NWT Sundance Catalog Yellow Long Sleeve Crew Neck Thermal Tee, Size L $58",EditSell SimilarExclude listing,$29.35Fixed price,$6.340% Free shipping,28,$821.78,–,"Mar 19, 2024"
2,", preview full size imageLands End Button Down Shirt 20W All Over Print Collared White Beachy SwimLands End Button Down Shirt 20W All Over Print Collared White Beachy Swim",EditSell SimilarExclude listing,$20.00Fixed price,$6.950% Free shipping,1,$20.00,–,"Mar 19, 2024"
3,", preview full size imageAnne Klein Jeans Women's Gauze Button Down Shirt Roll Tab Sleeve G21Anne Klein Jeans Women's Gauze Button Down Shirt Roll Tab Sleeve G21",EditSell SimilarExclude listing,$19.99Fixed price,$0.00100% Free shipping,4,$79.96,–,"Mar 19, 2024"
4,", preview full size imageCharter Club Top Womens 22W White Button Down Shirt Stretch Cotton Career NWTCharter Club Top Womens 22W White Button Down Shirt Stretch Cotton Career NWT",EditSell SimilarExclude listing,$20.00Fixed price,$5.500% Free shipping,1,$20.00,–,"Mar 19, 2024"
5,", preview full size imageTommy Hilfiger Women's / Ladies' 2-fer Blouse Pick Your SIZE & COLOR, NWT, NEWTommy Hilfiger Women's / Ladies' 2-fer Blouse Pick Your SIZE & COLOR, NWT, NEW",EditSell SimilarExclude listing,$14.99Fixed price,$0.00100% Free shipping,60,$899.40,–,"Mar 19, 2024"
6,", preview full size imageUS STOCK Women Victorian Satin Blouse Ladies Long Sleeve OL Work Top Plus SizeUS STOCK Women Victorian Satin Blouse Ladies Long Sleeve OL Work Top Plus Size",EditSell SimilarExclude listing,$17.78Fixed price,$0.00100% Free shipping,17,$302.18,–,"Mar 19, 2024"
7,", preview full size imageBP Womens NWT Plus 1X Pullover Puff Sleeve Cropped Top White Strawberry SmockedBP Womens NWT Plus 1X Pullover Puff Sleeve Cropped Top White Strawberry Smocked",EditSell SimilarExclude listing,$16.99Fixed price,$0.00100% Free shipping,1,$16.99,–,"Mar 19, 2024"
8,", preview full size imageCroft & Barrow Beautiful Gray Floral Textured LS Blouse Sz LgCroft & Barrow Beautiful Gray Floral Textured LS Blouse Sz Lg",EditSell SimilarExclude listing,$20.00Fixed price,$4.990% Free shipping,1,$20.00,–,"Mar 19, 2024"
9,", preview full size imagePink Blush Floral Kimono Medium Multicolor Long Sleeve Open Front Women'sPink Blush Floral Kimono Medium Multicolor Long Sleeve Open Front Women's",EditSell SimilarExclude listing,$14.40Fixed price,$6.700% Free shipping,1,$14.40,–,"Mar 19, 2024"
10,", preview full size imageNWT CHICO’s Sparkle Microfeel Timeless Scoop-Neck Tank Top Gold Shimmer Size 3NWT CHICO’s Sparkle Microfeel Timeless Scoop-Neck Tank Top Gold Shimmer Size 3",EditSell SimilarExclude listing,$21.00Fixed price,$5.900% Free shipping,1,$21.00,–,"Mar 19, 2024"
11,", preview full size imageANTICA SARTORIA 2022 MARQUERADE BUTTON DOWN  DRESS/KAFTAN NWT L/XLANTICA SARTORIA 2022 MARQUERADE BUTTON DOWN  DRESS/KAFTAN NWT L/XL",EditSell SimilarExclude listing,$49.99Fixed price,$9.000% Free shipping,1,$49.99,–,"Mar 19, 2024"
12,", preview full size imageLOGO by Lori Goldstein Printed Cotton Slub Elbow Sleeve Top - Ink (sz L) A347208LOGO by Lori Goldstein Printed Cotton Slub Elbow Sleeve Top - Ink (sz L) A347208",EditSell SimilarExclude listing,$20.00Fixed price,$0.00100% Free shipping,1,$20.00,–,"Mar 19, 2024"
13,", preview full size imageBanana Republic L/S Tie Wrap Top XL “Georgette” Simple Confetti Petals PatternBanana Republic L/S Tie Wrap Top XL “Georgette” Simple Confetti Petals Pattern",EditSell SimilarExclude listing,$30.00Fixed price,$5.000% Free shipping,1,$30.00,–,"Mar 19, 2024"
14,", preview full size imagePlus Size Shirts for Women 4X Casual Short Sleeve Sleep Tops Wine Red 26WPlus Size Shirts for Women 4X Casual Short Sleeve Sleep Tops Wine Red 26W",EditSell SimilarExclude listing,$13.99Fixed price,$0.00100% Free shipping,3,$41.97,–,"Mar 19, 2024"
15,", preview full size imageTHE SIMPSONS Treehouse Of Horror Halloween T-Shirt  XL Homer Bart LisaTHE SIMPSONS Treehouse Of Horror Halloween T-Shirt  XL Homer Bart Lisa",EditSell SimilarExclude listing,$14.00Fixed price,$6.000% Free shipping,1,$14.00,–,"Mar 19, 2024"
16,", preview full size imageLuLaRoe Daphne Floral Kimono With Tie Swimsuit Cover Up Women Size S SmallLuLaRoe Daphne Floral Kimono With Tie Swimsuit Cover Up Women Size S Small",EditSell SimilarExclude listing,$7.49Fixed price,$5.990% Free shipping,1,$7.49,–,"Mar 19, 2024"
