,Listing,Actions,Avg Sold Price,Avg Shipping,Total Sold,Item_Sale,Bids,Date Last Sold
0,", preview full size imagePampers Swaddlers Active Baby Diapers Enormous Pack - Size 5 - 104ctPampers Swaddlers Active Baby Diapers Enormous Pack - Size 5 - 104ct",EditSell SimilarExclude listing,$34.05Fixed price,$0.00100% Free shipping,203,"$6,912.46",–,"Mar 19, 2024"
1,", preview full size imageDiapers Size 6 124 CountDiapers Size 6 124 Count",EditSell SimilarExclude listing,$34.47Fixed price,$0.00100% Free shipping,2,$68.94,–,"Mar 19, 2024"
2,", preview full size imageSize 5: 27lbs and up, 168 Count Kirkland Signature  Diapers 168 CountSize 5: 27lbs and up, 168 Count Kirkland Signature  Diapers 168 Count",EditSell SimilarExclude listing,$57.99Fixed price,$0.00100% Free shipping,21,"$1,217.79",–,"Mar 19, 2024"
3,", preview full size imageHuggies Size 4 Diapers, Little Movers Baby Diapers, Size 4 (22-37 lbs), 88 CountHuggies Size 4 Diapers, Little Movers Baby Diapers, Size 4 (22-37 lbs), 88 Count",EditSell SimilarExclude listing,$32.40Fixed price,$0.00100% Free shipping,2,$64.80,–,"Mar 19, 2024"
4,", preview full size imagePampers Swaddlers Diapers, Size 1, 96 CountPampers Swaddlers Diapers, Size 1, 96 Count",EditSell SimilarExclude listing,$19.99Fixed price,$0.00100% Free shipping,1,$19.99,–,"Mar 19, 2024"
5,", preview full size imageThe Honest Company Clean Conscious Disposable Diapers Sky's The Limit & Wingin'The Honest Company Clean Conscious Disposable Diapers Sky's The Limit & Wingin'",EditSell SimilarExclude listing,$19.19Fixed price,$0.00100% Free shipping,2,$38.38,–,"Mar 19, 2024"
6,", preview full size image2 Pk Honest Clean Conscious Diapers - Halloween Theme - 2 x 30 Count - Size 42 Pk Honest Clean Conscious Diapers - Halloween Theme - 2 x 30 Count - Size 4",EditSell SimilarExclude listing,$20.00Fixed price,$0.00100% Free shipping,1,$20.00,–,"Mar 19, 2024"
7,", preview full size imageHuggies Special Delivery Diapers - Size 4 - 104ctHuggies Special Delivery Diapers - Size 4 - 104ct",EditSell SimilarExclude listing,$31.15Fixed price,$0.00100% Free shipping,80,"$2,492.03",–,"Mar 19, 2024"
8,", preview full size imagePampers Swaddlers Active Baby Diapers - Size 1 - 210ct - Open Box (170ct)Pampers Swaddlers Active Baby Diapers - Size 1 - 210ct - Open Box (170ct)",EditSell SimilarExclude listing,$28.00Fixed price,$0.00100% Free shipping,1,$28.00,–,"Mar 19, 2024"
9,", preview full size imagePampers Diaper, Soft and Absorbent, Size 7, 66 CountPampers Diaper, Soft and Absorbent, Size 7, 66 Count",EditSell SimilarExclude listing,$27.00Fixed price,$0.00100% Free shipping,1,$27.00,–,"Mar 19, 2024"
