,Listing,Actions,Avg Sold Price,Avg Shipping,Total Sold,Item_Sale,Bids,Date Last Sold
0,", preview full size imageStanley mechanics hand tool set 201-piece with portable storage case black ne-Stanley mechanics hand tool set 201-piece with portable storage case black ne-",EditSell SimilarExclude listing,$131.99Fixed price,$0.00100% Free shipping,8,"$1,055.92",–,"Mar 19, 2024"
1,", preview full size image8 Pcs Stanley, Plomb and Assorted Workshop Equipment Hand Tools Set8 Pcs Stanley, Plomb and Assorted Workshop Equipment Hand Tools Set",EditSell SimilarExclude listing,$23.97Fixed price,$0.00100% Free shipping,1,$23.97,–,"Mar 19, 2024"
2,", preview full size imageCommercial Electric Electrical Hand Tool Set 22-Piece W/Multiple Pocket Tool BagCommercial Electric Electrical Hand Tool Set 22-Piece W/Multiple Pocket Tool Bag",EditSell SimilarExclude listing,$64.00Fixed price,$0.00100% Free shipping,1,$64.00,–,"Mar 19, 2024"
3,", preview full size imageVCT Tool 399pc Piece Multi-Use Electrical Repair Kit Hand Sets W/CaseVCT Tool 399pc Piece Multi-Use Electrical Repair Kit Hand Sets W/Case",EditSell SimilarExclude listing,$26.06Fixed price,$50.6097% Free shipping,108,"$2,814.60",–,"Mar 19, 2024"
4,", preview full size image205 PCS Tool Set Mechanics Tool Kit Wrenches Socket Hand Tool Set  w/ Grey Case205 PCS Tool Set Mechanics Tool Kit Wrenches Socket Hand Tool Set  w/ Grey Case",EditSell SimilarExclude listing,$70.23Fixed price,$0.00100% Free shipping,177,"$12,430.23",–,"Mar 19, 2024"
5,", preview full size image198 PCS Hand Tool Set Mechanics Kit Wrench Socket Household Repair Tools Red198 PCS Hand Tool Set Mechanics Kit Wrench Socket Household Repair Tools Red",EditSell SimilarExclude listing,$54.99Fixed price,$0.00100% Free shipping,1,$54.99,–,"Mar 19, 2024"
6,", preview full size image94 PCS Hand Tool Sets Car Repair Tool Kit Set Box for Home Socket Wrench Set 1/494 PCS Hand Tool Sets Car Repair Tool Kit Set Box for Home Socket Wrench Set 1/4",EditSell SimilarExclude listing,$43.66Fixed price,$0.00100% Free shipping,3,$130.97,–,"Mar 19, 2024"
7,", preview full size imageLot Of Used hand Tools, Misc automotive, lawn and gardenLot Of Used hand Tools, Misc automotive, lawn and garden",EditSell SimilarExclude listing,$21.05Auction,$6.720% Free shipping,1,$21.05,8,"Mar 18, 2024"
8,", preview full size image198 PCS Hand Tool Set Mechanics Kit Wrench Socket Household Repair Tools w/ Case198 PCS Hand Tool Set Mechanics Kit Wrench Socket Household Repair Tools w/ Case",EditSell SimilarExclude listing,$55.08Fixed price,$0.00100% Free shipping,525,"$28,918.27",–,"Mar 18, 2024"
9,", preview full size imageApollo One Hand PEX Pinch Clamp Tool 3/8"" to 1"" W/ LED Indicator Plumbing Tool HApollo One Hand PEX Pinch Clamp Tool 3/8"" to 1"" W/ LED Indicator Plumbing Tool H",EditSell SimilarExclude listing,$23.32Fixed price,$10.100% Free shipping,1,$23.32,–,"Mar 18, 2024"
10,", preview full size imageCartman Pink 39Piece Tool Set General Household Hand Tool KitCartman Pink 39Piece Tool Set General Household Hand Tool Kit",EditSell SimilarExclude listing,$19.20Fixed price,$0.00100% Free shipping,8,$153.60,–,"Mar 18, 2024"
